time,open,high,low,close,volume
2026-01-15 01:00:00,4630.53,4632.67,4620.37,4622.88,1050
2026-01-15 01:05:00,4622.83,4623.69,4612.65,4612.65,1103
2026-01-15 01:10:00,4612.61,4617.93,4612.26,4616.82,1479
2026-01-15 01:15:00,4616.57,4618.48,4610.85,4612.09,1229
2026-01-15 01:20:00,4612.08,4612.29,4607.62,4608.38,1115
2026-01-15 01:25:00,4608.4,4609.56,4605.55,4609.13,1234
2026-01-15 01:30:00,4609.07,4612.16,4608.14,4609.42,1136
2026-01-15 01:35:00,4609.39,4612.99,4606.58,4607.22,1117
2026-01-15 01:40:00,4607.06,4607.19,4603.02,4606.45,1048
2026-01-15 01:45:00,4606.46,4614.6,4606.46,4613.77,1375
2026-01-15 01:50:00,4613.52,4613.76,4610.12,4610.48,991
2026-01-15 01:55:00,4610.51,4616.17,4610.4,4615.29,940
2026-01-15 02:00:00,4615.25,4617.17,4611.64,4616.32,1264
2026-01-15 02:05:00,4616.31,4617.58,4614.29,4617.27,822
2026-01-15 02:10:00,4617.32,4617.9,4614.93,4616.61,872
2026-01-15 02:15:00,4616.6,4618.18,4614.62,4616.98,909
2026-01-15 02:20:00,4616.9,4617.79,4614.16,4617.65,728
2026-01-15 02:25:00,4617.38,4617.75,4615.58,4616.7,836
2026-01-15 02:30:00,4616.69,4618.17,4615.7,4616.6,804
2026-01-15 02:35:00,4616.51,4617.81,4615.51,4616.07,774
2026-01-15 02:40:00,4616.05,4616.23,4613.41,4613.88,1087
2026-01-15 02:45:00,4613.8,4615.36,4610.46,4610.59,1258
2026-01-15 02:50:00,4610.58,4614.42,4610.23,4613.63,1374
2026-01-15 02:55:00,4613.62,4617.57,4613.62,4615.25,1082
2026-01-15 03:00:00,4615.26,4616.21,4607.04,4609.86,2290
2026-01-15 03:05:00,4609.95,4617.54,4606.71,4616.51,1919
2026-01-15 03:10:00,4616.57,4616.96,4607.85,4609.14,1904
2026-01-15 03:15:00,4609.17,4610.06,4602.8,4603.58,1999
2026-01-15 03:20:00,4603.64,4605.69,4597.68,4597.92,1957
2026-01-15 03:25:00,4597.93,4603.47,4596.97,4600.58,2240
2026-01-15 03:30:00,4600.5,4600.79,4583.68,4591.61,2488
2026-01-15 03:35:00,4591.65,4599.06,4590.48,4596.73,2382
2026-01-15 03:40:00,4596.65,4603.13,4594.83,4602.64,2224
2026-01-15 03:45:00,4602.69,4604.83,4597.31,4601.49,2140
2026-01-15 03:50:00,4601.74,4607.02,4600.39,4606.42,1955
2026-01-15 03:55:00,4606.55,4607.07,4599.89,4600.04,1877
2026-01-15 04:00:00,4599.96,4604.65,4597.5,4604.23,1859
2026-01-15 04:05:00,4604.27,4611.03,4604.27,4610.37,1753
2026-01-15 04:10:00,4610.34,4614.59,4609.71,4614.01,1721
2026-01-15 04:15:00,4614.02,4614.22,4611.69,4613.97,1481
2026-01-15 04:20:00,4613.95,4614.63,4607.38,4608.88,1634
2026-01-15 04:25:00,4608.72,4611.9,4608.35,4611.06,1283
2026-01-15 04:30:00,4611.08,4614.67,4609.16,4610.02,1936
2026-01-15 04:35:00,4610.16,4611.14,4604.33,4605.9,1861
2026-01-15 04:40:00,4605.88,4608.77,4605.2,4607.42,1663
2026-01-15 04:45:00,4607.38,4607.54,4599.98,4604.12,1869
2026-01-15 04:50:00,4604.1,4604.17,4595.51,4598.73,1845
2026-01-15 04:55:00,4598.78,4605.26,4597.55,4602.98,1542
2026-01-15 05:00:00,4602.96,4604.27,4597.61,4598.35,1880
2026-01-15 05:05:00,4598.29,4602.23,4595.76,4596.8,1898
2026-01-15 05:10:00,4596.81,4598.63,4589.63,4591.5,1876
2026-01-15 05:15:00,4591.49,4594.8,4589.87,4591.22,1904
2026-01-15 05:20:00,4591.19,4591.19,4582.64,4587.33,1933
2026-01-15 05:25:00,4586.71,4588.03,4581.22,4585.23,2056
2026-01-15 05:30:00,4585.06,4590.47,4581.06,4590.46,1973
2026-01-15 05:35:00,4590.49,4597.3,4588.55,4595.81,1613
2026-01-15 05:40:00,4595.8,4597.52,4594.1,4596.67,1422
2026-01-15 05:45:00,4596.68,4596.68,4589.37,4593.82,1489
2026-01-15 05:50:00,4593.79,4595.14,4591.94,4592.65,1190
2026-01-15 05:55:00,4592.68,4593.15,4591.32,4592.36,1518
2026-01-15 06:00:00,4592.34,4594.42,4587.84,4589.41,1534
2026-01-15 06:05:00,4589.3,4591.21,4587.03,4587.53,1213
2026-01-15 06:10:00,4587.6,4594.67,4587.6,4593.96,1133
2026-01-15 06:15:00,4593.8,4594.9,4592.29,4592.92,1196
2026-01-15 06:20:00,4592.97,4597.32,4590.78,4596.06,1115
2026-01-15 06:25:00,4596.0,4597.51,4593.14,4593.96,1372
2026-01-15 06:30:00,4593.94,4595.36,4593.31,4594.63,1193
2026-01-15 06:35:00,4594.64,4595.87,4593.55,4594.83,721
2026-01-15 06:40:00,4594.87,4595.67,4589.32,4590.95,1108
2026-01-15 06:45:00,4590.96,4593.4,4589.94,4592.79,1243
2026-01-15 06:50:00,4592.77,4595.6,4592.5,4594.79,1028
2026-01-15 06:55:00,4594.75,4595.46,4591.64,4592.25,1036
2026-01-15 07:00:00,4592.22,4592.35,4589.23,4589.71,1032
2026-01-15 07:05:00,4589.76,4591.44,4588.83,4589.77,934
2026-01-15 07:10:00,4589.75,4592.43,4587.45,4587.55,1025
2026-01-15 07:15:00,4587.52,4587.71,4581.11,4587.11,1336
2026-01-15 07:20:00,4587.18,4588.31,4585.31,4586.48,983
2026-01-15 07:25:00,4586.49,4593.03,4585.91,4592.99,935
2026-01-15 07:30:00,4593.06,4593.9,4582.94,4585.58,1836
2026-01-15 07:35:00,4585.56,4587.13,4581.56,4583.6,1861
2026-01-15 07:40:00,4583.49,4589.96,4581.54,4589.75,1698
2026-01-15 07:45:00,4589.62,4591.96,4587.55,4591.89,1669
2026-01-15 07:50:00,4591.88,4598.52,4591.71,4596.67,1705
2026-01-15 07:55:00,4596.76,4598.93,4593.51,4595.29,1573
2026-01-15 08:00:00,4595.31,4600.81,4593.7,4599.21,1614
2026-01-15 08:05:00,4599.2,4604.82,4598.89,4604.63,1725
2026-01-15 08:10:00,4604.62,4608.63,4602.78,4605.43,1655
2026-01-15 08:15:00,4605.47,4609.27,4604.91,4608.84,1719
2026-01-15 08:20:00,4608.8,4609.93,4605.62,4608.15,1723
2026-01-15 08:25:00,4608.16,4608.41,4603.86,4604.11,1392
2026-01-15 08:30:00,4604.07,4604.64,4600.48,4602.22,1564
2026-01-15 08:35:00,4602.19,4607.56,4601.23,4605.49,1508
2026-01-15 08:40:00,4605.47,4608.09,4604.65,4605.71,1629
2026-01-15 08:45:00,4605.72,4609.31,4603.64,4609.07,1607
2026-01-15 08:50:00,4609.09,4610.55,4606.59,4610.05,1182
2026-01-15 08:55:00,4610.07,4611.97,4608.57,4610.19,1376
2026-01-15 09:00:00,4610.23,4610.99,4607.35,4608.91,1180
2026-01-15 09:05:00,4608.07,4609.55,4605.89,4608.99,1030
2026-01-15 09:10:00,4608.98,4609.66,4607.56,4609.49,1061
2026-01-15 09:15:00,4609.45,4613.56,4608.62,4612.53,1100
2026-01-15 09:20:00,4612.52,4612.52,4608.67,4609.77,965
2026-01-15 09:25:00,4609.74,4610.97,4608.8,4610.22,853
2026-01-15 09:30:00,4610.23,4611.2,4608.54,4609.02,868
2026-01-15 09:35:00,4609.01,4609.26,4603.47,4603.52,978
2026-01-15 09:40:00,4603.5,4605.47,4601.67,4604.1,1067
2026-01-15 09:45:00,4604.09,4604.43,4601.31,4603.13,989
2026-01-15 09:50:00,4603.06,4603.1,4600.58,4601.96,1024
2026-01-15 09:55:00,4601.73,4602.78,4599.27,4601.77,1483
2026-01-15 10:00:00,4601.75,4604.48,4597.71,4600.0,1564
2026-01-15 10:05:00,4600.01,4603.93,4598.25,4601.77,1375
2026-01-15 10:10:00,4601.88,4604.64,4600.35,4603.89,1267
2026-01-15 10:15:00,4603.87,4605.97,4603.8,4605.86,1186
2026-01-15 10:20:00,4605.85,4606.29,4601.89,4603.32,1176
2026-01-15 10:25:00,4603.73,4603.78,4600.4,4602.08,1118
2026-01-15 10:30:00,4602.46,4603.89,4599.19,4603.11,1109
2026-01-15 10:35:00,4603.09,4605.16,4601.72,4605.12,1099
2026-01-15 10:40:00,4605.11,4607.1,4604.2,4606.34,1074
2026-01-15 10:45:00,4606.44,4606.67,4602.15,4603.25,1067
2026-01-15 10:50:00,4603.33,4604.23,4602.79,4603.32,977
2026-01-15 10:55:00,4603.3,4605.29,4601.18,4604.23,951
2026-01-15 11:00:00,4604.24,4604.81,4601.24,4603.61,882
2026-01-15 11:05:00,4603.64,4603.72,4600.65,4601.65,828
2026-01-15 11:10:00,4601.67,4604.38,4601.62,4603.97,1064
2026-01-15 11:15:00,4604.25,4604.42,4601.92,4602.66,1023
2026-01-15 11:20:00,4602.59,4603.88,4602.13,4602.62,1018
2026-01-15 11:25:00,4602.63,4605.41,4602.5,4604.62,1196
2026-01-15 11:30:00,4604.61,4606.15,4602.9,4605.61,1183
2026-01-15 11:35:00,4605.64,4610.42,4605.11,4609.08,1264
2026-01-15 11:40:00,4609.07,4611.23,4607.86,4609.49,1337
2026-01-15 11:45:00,4609.45,4612.36,4608.0,4612.05,1275
2026-01-15 11:50:00,4612.02,4612.57,4610.36,4611.72,1124
2026-01-15 11:55:00,4611.73,4613.13,4611.01,4612.62,1059
2026-01-15 12:00:00,4612.54,4612.81,4609.41,4609.83,863
2026-01-15 12:05:00,4609.81,4613.59,4609.39,4611.51,1276
2026-01-15 12:10:00,4611.52,4614.11,4611.48,4612.51,1154
2026-01-15 12:15:00,4612.53,4614.59,4611.99,4612.87,912
2026-01-15 12:20:00,4612.86,4615.62,4612.42,4614.93,994
2026-01-15 12:25:00,4614.88,4615.24,4611.29,4612.07,945
2026-01-15 12:30:00,4612.1,4613.78,4610.69,4613.37,1081
2026-01-15 12:35:00,4613.38,4618.39,4613.25,4617.94,1166
2026-01-15 12:40:00,4617.95,4619.38,4616.56,4618.01,891
2026-01-15 12:45:00,4618.02,4619.75,4617.13,4619.15,1254
2026-01-15 12:50:00,4619.17,4619.7,4617.33,4619.53,738
2026-01-15 12:55:00,4619.49,4620.36,4618.07,4619.85,1015
2026-01-15 13:00:00,4620.06,4621.38,4619.25,4620.01,947
2026-01-15 13:05:00,4620.09,4621.53,4618.72,4618.82,891
2026-01-15 13:10:00,4618.71,4620.25,4618.64,4619.02,845
2026-01-15 13:15:00,4619.04,4619.2,4617.32,4617.55,823
2026-01-15 13:20:00,4617.51,4620.58,4617.48,4619.09,721
2026-01-15 13:25:00,4619.07,4619.97,4617.88,4619.16,774
2026-01-15 13:30:00,4619.15,4621.57,4617.75,4621.46,852
2026-01-15 13:35:00,4621.45,4623.0,4621.08,4621.78,925
2026-01-15 13:40:00,4621.77,4621.77,4617.85,4617.85,843
2026-01-15 13:45:00,4617.89,4617.89,4615.57,4616.8,1095
2026-01-15 13:50:00,4616.78,4620.36,4616.67,4617.15,1145
2026-01-15 13:55:00,4617.16,4619.73,4616.34,4619.17,942
2026-01-15 14:00:00,4619.26,4620.8,4618.34,4618.35,886
2026-01-15 14:05:00,4618.36,4619.37,4616.33,4617.34,856
2026-01-15 14:10:00,4617.29,4617.37,4614.63,4614.94,1077
2026-01-15 14:15:00,4614.95,4615.9,4613.93,4614.46,1056
2026-01-15 14:20:00,4614.45,4616.44,4614.31,4615.98,1218
2026-01-15 14:25:00,4615.99,4618.77,4615.74,4616.59,1040
2026-01-15 14:30:00,4616.57,4617.08,4615.4,4615.65,1057
2026-01-15 14:35:00,4615.52,4617.84,4615.49,4617.26,941
2026-01-15 14:40:00,4617.23,4618.57,4616.45,4617.17,997
2026-01-15 14:45:00,4617.31,4617.52,4613.38,4614.35,1172
2026-01-15 14:50:00,4614.28,4615.66,4612.55,4612.77,1237
2026-01-15 14:55:00,4612.76,4614.88,4611.72,4614.0,1352
2026-01-15 15:00:00,4613.72,4616.16,4610.2,4610.89,2189
2026-01-15 15:05:00,4610.9,4614.88,4609.7,4612.56,2122
2026-01-15 15:10:00,4612.58,4614.32,4610.85,4611.58,2107
2026-01-15 15:15:00,4611.46,4613.99,4604.82,4605.32,2199
2026-01-15 15:20:00,4605.3,4609.48,4604.53,4607.41,2076
2026-01-15 15:25:00,4607.5,4609.78,4602.64,4605.62,1774
2026-01-15 15:30:00,4605.63,4605.63,4593.96,4595.07,2269
2026-01-15 15:35:00,4595.08,4597.09,4590.86,4593.91,2197
2026-01-15 15:40:00,4593.82,4595.34,4588.26,4589.97,2200
2026-01-15 15:45:00,4589.76,4590.84,4581.98,4588.06,2124
2026-01-15 15:50:00,4587.94,4594.27,4587.64,4590.84,1888
2026-01-15 15:55:00,4590.85,4591.97,4584.18,4588.26,2070
2026-01-15 16:00:00,4588.28,4594.8,4583.4,4591.8,2201
2026-01-15 16:05:00,4591.85,4596.68,4588.49,4595.91,1871
2026-01-15 16:10:00,4595.93,4599.96,4595.9,4599.87,1818
2026-01-15 16:15:00,4599.89,4600.76,4596.4,4599.82,1685
2026-01-15 16:20:00,4599.93,4605.78,4598.33,4603.49,1789
2026-01-15 16:25:00,4603.47,4606.74,4602.55,4602.8,1711
2026-01-15 16:30:00,4602.86,4611.95,4601.68,4608.09,2315
2026-01-15 16:35:00,4608.15,4611.43,4605.37,4608.72,2303
2026-01-15 16:40:00,4608.65,4610.63,4602.33,4602.85,2347
2026-01-15 16:45:00,4602.93,4610.04,4600.34,4609.22,2359
2026-01-15 16:50:00,4609.24,4613.75,4607.28,4612.98,2400
2026-01-15 16:55:00,4613.0,4615.12,4608.75,4611.12,2127
2026-01-15 17:00:00,4611.02,4615.1,4608.18,4608.96,2191
2026-01-15 17:05:00,4608.98,4612.07,4603.79,4608.65,2062
2026-01-15 17:10:00,4608.64,4614.24,4607.13,4613.28,2034
2026-01-15 17:15:00,4613.27,4618.05,4612.28,4615.46,1980
2026-01-15 17:20:00,4615.47,4617.63,4613.83,4615.97,1954
2026-01-15 17:25:00,4615.98,4616.83,4612.94,4616.48,1916
2026-01-15 17:30:00,4616.42,4617.52,4612.47,4614.18,1919
2026-01-15 17:35:00,4614.11,4617.4,4612.3,4613.49,1794
2026-01-15 17:40:00,4613.51,4614.03,4609.43,4611.61,1849
2026-01-15 17:45:00,4611.54,4616.91,4609.95,4615.24,1888
2026-01-15 17:50:00,4615.26,4617.05,4611.43,4615.8,1779
2026-01-15 17:55:00,4615.83,4616.39,4613.78,4615.43,1770
2026-01-15 18:00:00,4615.4,4616.18,4609.67,4610.27,1823
2026-01-15 18:05:00,4610.31,4616.39,4608.67,4615.37,1825
2026-01-15 18:10:00,4615.38,4623.27,4615.37,4622.1,1931
2026-01-15 18:15:00,4622.12,4624.68,4620.56,4621.0,1867
2026-01-15 18:20:00,4620.98,4621.91,4615.81,4616.75,2077
2026-01-15 18:25:00,4616.78,4616.88,4611.48,4611.58,1909
2026-01-15 18:30:00,4611.6,4613.45,4609.28,4609.74,1922
2026-01-15 18:35:00,4609.75,4612.21,4606.36,4606.4,1683
2026-01-15 18:40:00,4606.31,4607.79,4604.59,4607.34,1837
2026-01-15 18:45:00,4607.3,4607.3,4603.28,4603.51,1851
2026-01-15 18:50:00,4603.58,4606.18,4601.28,4602.27,1661
2026-01-15 18:55:00,4602.24,4606.97,4601.87,4605.67,1565
2026-01-15 19:00:00,4605.69,4609.59,4605.65,4608.61,1673
2026-01-15 19:05:00,4608.51,4611.15,4608.21,4609.3,1417
2026-01-15 19:10:00,4609.57,4611.18,4609.45,4609.74,1223
2026-01-15 19:15:00,4609.67,4612.54,4607.77,4612.14,1418
2026-01-15 19:20:00,4612.11,4613.73,4611.17,4612.93,1286
2026-01-15 19:25:00,4612.95,4613.31,4610.57,4610.83,1507
2026-01-15 19:30:00,4610.81,4614.22,4610.26,4613.98,1341
2026-01-15 19:35:00,4614.01,4616.59,4613.63,4614.73,1281
2026-01-15 19:40:00,4614.72,4615.2,4613.41,4614.49,1361
2026-01-15 19:45:00,4614.5,4616.9,4613.89,4615.23,1597
2026-01-15 19:50:00,4615.26,4615.99,4613.85,4614.11,1496
2026-01-15 19:55:00,4614.13,4616.75,4613.73,4616.55,1706
2026-01-15 20:00:00,4616.57,4620.34,4616.48,4619.01,1523
2026-01-15 20:05:00,4619.02,4619.73,4616.37,4618.26,1451
2026-01-15 20:10:00,4618.25,4619.94,4617.56,4617.85,1482
2026-01-15 20:15:00,4617.86,4620.03,4617.31,4619.13,1360
2026-01-15 20:20:00,4619.29,4621.16,4618.3,4619.6,1708
2026-01-15 20:25:00,4619.56,4621.07,4618.08,4619.41,1545
2026-01-15 20:30:00,4619.05,4619.05,4613.63,4616.31,1308
2026-01-15 20:35:00,4616.32,4618.63,4616.29,4617.99,1044
2026-01-15 20:40:00,4617.98,4618.14,4614.17,4615.51,1451
2026-01-15 20:45:00,4615.52,4619.69,4615.38,4618.77,1314
2026-01-15 20:50:00,4618.76,4619.07,4615.92,4616.3,1052
2026-01-15 20:55:00,4616.33,4617.58,4616.02,4617.56,948
2026-01-15 21:00:00,4617.57,4620.07,4617.43,4619.15,1193
2026-01-15 21:05:00,4619.34,4621.42,4618.09,4621.32,1395
2026-01-15 21:10:00,4621.25,4621.49,4618.86,4619.0,1143
2026-01-15 21:15:00,4619.04,4619.82,4617.61,4619.45,1123
2026-01-15 21:20:00,4619.43,4620.02,4618.83,4619.64,1051
2026-01-15 21:25:00,4619.58,4620.59,4618.06,4618.21,1006
2026-01-15 21:30:00,4618.23,4618.84,4616.97,4618.13,1201
2026-01-15 21:35:00,4618.12,4619.16,4615.18,4616.2,978
2026-01-15 21:40:00,4616.22,4617.12,4615.76,4616.84,1196
2026-01-15 21:45:00,4616.8,4617.16,4615.38,4615.9,1124
2026-01-15 21:50:00,4615.86,4616.34,4615.33,4616.03,846
